ids	uaagmda_c	uagmda_c	lipa_c	kdo2lipid4p_c	kdo2lipid4L_c	kdo2lipid4_c	kdolipid4_c	lipidA_c	lipidAds_c	lipidX_c	u23ga_c	u3hga_c	u3aga_c	ttdcea_c	hdcea_c	ocdcea_c	agpg_EC_c	pe_EC_c	ps_EC_c	clpn_EC_c	pg_EC_c	pgp_EC_c	cdpdag_EC_c	12dgr_EC_c	pa_EC_c	octeACP_c	tdeACP_c	hdeACP_c	ddcaACP_c	3hmrsACP_c	actACP_c	malACP_c	peptido_EC_c	ugmda_c	ugmd_c	uamag_c	uama_c	unaga_c	udcpdp_c	udcpp_c	grdp_c	frdp_c	dmpp_c	ipdp_c	h2mb4p_c	2mecdp_c	mthgxl_c	db4p_c	acgam1p_c	gam1p_c	thmpp_c	sucarg_c	dtdp_c	kdo_c	kdo8p_c	glu__L_c	2me4p_c	dxyl5p_c	glutrna_c	prpp_c	amet_c	pap_c	atp_c	adp_c	gdp_c	gtp_c
frozenset({'b2323'})	20.000000000000167	20.000000000000174	19.611452282156765	2.9110419942285367e-15	19.999999999998273	20.000000000000018	20.00000000000026	20.000000000000657	29.4875160875156	39.99999999999902	20.000000000000224	19.999999999999897	20.000000000002256	1.433052323061103e-14	-1.8956198450618388e-14	-3.88732438540196e-14	-9.769684936819192e-16	-9.149646913300315e-14	-9.19458543535484e-14	-4.916876977913059e-14	-7.052017489028965e-14	1.2073109666762468e-16	0.0	-9.005971202145016e-17	5.981492321394047e-14	-3.18711047309409e-15	-1.4366558041087774e-14	1.9025771618526923e-15	-1.1397220685400123e-14	-5.125797523797375e-15	-4.965362651515543e-29	-1.5066449914710967e-13	54.999999999999936	20.00000000000036	20.000000000000263	20.000000000000178	20.000000000000362	19.999999999999577	19.999999999999808	36.68930207491233	20.000000000000014	19.999999999999822	19.999999999999577	19.999999999999137	19.99999999999994	20.00000000000008	899.7999999999994	40.00000000000077	39.99999999999972	39.99999999999988	9.999999999999998	104.99999999999991	19.999999999999524	355.26909090909066	40.000000000000135	420.00000000000034	40.000000000000206	40.00000000000027	0.0	13.333333333333409	29.999999999999876	9.999999999999991	13.33333333333336	19.999999999999996	20.000000000000075	13.333333333333666
frozenset({'b2723'})	20.000000000000167	20.000000000000174	19.611452282156765	20.000000000000107	19.999999999998103	20.000000000000018	20.00000000000026	20.000000000000657	29.4875160875156	39.99999999999902	20.000000000000327	19.999999999999897	20.000000000002256	21.071596998928268	27.650914205344584	84.96893939393948	0.8000000000000111	0.8000000000000169	0.7999999999999697	0.3999999999999845	0.8000000000001036	0.3999999999999901	0.4000000000000109	1.2038735702050085	0.8000000000000124	-3.18711047309409e-15	-8.713254792118353e-15	3.0882406213244996e-15	-1.1397220685400123e-14	-5.125797523797375e-15	-4.965362651515543e-29	-1.5066449914710967e-13	54.99999999999995	20.00000000000036	20.000000000000163	20.000000000000178	20.000000000000362	19.999999999999577	19.999999999999808	36.68930207491233	19.999999999999982	20.000000000000036	19.999999999999577	19.999999999999137	19.999999999999957	20.00000000000008	899.7999999999994	40.00000000000077	39.99999999999972	39.99999999999988	9.999999999999998	104.99999999999991	19.999999999999524	355.26909090909066	40.000000000000135	420.00000000000034	40.000000000000206	40.00000000000027	0.0	13.333333333333409	29.999999999999876	9.999999999999991	13.33333333333336	19.999999999999996	20.000000000000075	13.333333333333666
frozenset({'b2722'})	20.000000000000167	20.000000000000174	19.611452282156765	20.000000000000107	19.999999999998103	20.000000000000018	20.00000000000026	20.000000000000657	29.4875160875156	39.99999999999902	20.000000000000327	19.999999999999897	20.000000000002256	21.071596998928268	27.650914205344584	84.96893939393948	0.8000000000000111	0.8000000000000169	0.7999999999999697	0.3999999999999845	0.8000000000001036	0.3999999999999901	0.4000000000000109	1.2038735702050085	0.8000000000000124	-3.18711047309409e-15	-8.713254792118353e-15	3.0882406213244996e-15	-1.1397220685400123e-14	-5.125797523797375e-15	-4.965362651515543e-29	-1.5066449914710967e-13	54.99999999999995	20.00000000000036	20.000000000000163	20.000000000000178	20.000000000000362	19.999999999999577	19.999999999999808	36.68930207491233	19.999999999999982	20.000000000000036	19.999999999999577	19.999999999999137	19.999999999999957	20.00000000000008	899.7999999999994	40.00000000000077	39.99999999999972	39.99999999999988	9.999999999999998	104.99999999999991	19.999999999999524	355.26909090909066	40.000000000000135	420.00000000000034	40.000000000000206	40.00000000000027	0.0	13.333333333333409	29.999999999999876	9.999999999999991	13.33333333333336	19.999999999999996	20.000000000000075	13.333333333333666
frozenset({'b2279'})	19.999999999999435	20.000000000000174	19.260414937759382	19.953327256153152	19.999999999998103	20.000000000000018	20.00000000000026	20.000000000000657	28.943114543114223	39.99999999999902	20.000000000000327	19.999999999999897	20.000000000002256	20.69539121114681	27.157243319268627	83.36666666666682	0.8000000000000111	0.8000000000000169	0.7999999999999697	0.3999999999999845	0.8000000000001036	0.3999999999999901	0.4000000000000109	1.1853604286725323	0.8000000000000124	-3.18711047309409e-15	-8.713254792118353e-15	3.0882406213244996e-15	-1.1397220685400123e-14	-5.125797523797375e-15	-4.965362651515543e-29	-1.5066449914710967e-13	54.99999999999995	20.00000000000036	20.000000000000163	20.000000000000178	20.000000000000362	19.999999999999577	19.999999999999808	36.33866666666658	19.999999999999982	20.000000000000036	19.999999999999577	19.999999999999137	19.999999999999957	20.00000000000008	877.5894736842125	40.00000000000077	39.99999999999972	39.99999999999988	9.999999999999998	104.99999999999991	19.999999999999524	348.887272727275	40.000000000000135	420.00000000000034	40.000000000000206	40.00000000000027	0.0	13.333333333333409	29.999999999999876	9.999999999999991	13.33333333333336	19.999999999999996	20.000000000000075	13.333333333333666
frozenset({'b2316'})	19.999999999999435	20.000000000000174	-7.881825815495009e-15	-1.8786903236871287e-16	2.1898785178404347e-14	-4.250696532462997e-15	2.986739857551888e-14	4.754802595449859e-16	1.2208653261663857e-13	2.804895226218581e-15	-2.2202734625893537e-15	4.8091901892263594e-30	-7.619922635208662e-30	2.448886881180366e-14	-5.8047689035386455e-15	2.9176929793967405e-15	-2.332323803349162e-15	-4.432537853082312e-17	4.2054835031896857e-13	2.0696737669778318e-16	4.762384879924301e-16	-8.687061637883888e-15	-7.218260116172223e-17	-2.42013024917363e-15	2.4584841282418227e-17	-3.18711047309409e-15	-8.713254792118353e-15	3.0882406213244996e-15	-1.1909135832155599e-29	-5.125797523797375e-15	-4.965362651515543e-29	-1.5066449914710967e-13	54.99999999999995	20.00000000000036	20.000000000000163	20.000000000000178	20.000000000000362	19.999999999999577	19.999999999999808	36.689302074912455	19.999999999999982	20.000000000000036	19.999999999999577	19.999999999999137	19.999999999999957	20.00000000000008	899.8000000000025	40.00000000000077	39.99999999999972	39.99999999999988	9.999999999999998	104.99999999999991	19.999999999999524	355.2690909090938	40.000000000000135	420.00000000000034	40.000000000000206	40.00000000000027	0.0	13.333333333333409	29.999999999999876	9.999999999999991	13.33333333333336	19.999999999999996	20.000000000000075	13.333333333333666
frozenset({'b0071'})	19.999999999999435	20.000000000000174	19.6114522821577	20.000000000000643	20.00000000000094	20.00000000000014	19.99999999999955	19.999999999999666	29.487516087516163	40.00000000000084	20.000000000000327	20.00000000000021	20.00000000000013	21.071596998928158	27.650914205344392	84.96893939393927	0.7999999999999611	0.7999999999999984	0.8000000000000046	0.4000000000003432	0.7999999999999857	0.40000000000005614	0.3999999999995118	1.203873570205008	0.7999999999999969	-3.18711047309409e-15	-8.713254792118353e-15	3.0882406213244996e-15	-1.1909135832155599e-29	-5.125797523797375e-15	-4.965362651515543e-29	-1.5066449914710967e-13	54.99999999999995	20.00000000000036	20.000000000000163	20.000000000000178	20.000000000000362	19.999999999999577	19.999999999999808	36.689302074912455	19.999999999999982	20.000000000000036	19.999999999999577	19.999999999999137	19.999999999999957	20.00000000000008	899.8000000000025	40.00000000000077	39.99999999999972	39.99999999999988	9.999999999999998	104.99999999999991	19.999999999999524	355.2690909090938	40.000000000000135	420.00000000000034	40.000000000000206	40.00000000000027	0.0	13.333333333333409	29.999999999999876	9.999999999999991	13.33333333333336	19.999999999999996	20.000000000000075	13.333333333333666
frozenset({'b2705'})	19.999999999999513	19.999999999999343	19.3873858921162	20.00000000000073	20.00000000000098	20.000000000000128	19.999999999999563	20.000000000000686	29.140025740025813	40.00000000000084	20.000000000000327	20.000000000000068	20.00000000000013	20.750053590568044	27.22897327707433	83.94621212121199	0.7999999999999617	0.800000000000019	0.8000000000000332	0.4000000000003348	0.7999999999999857	0.4000000000000547	0.3999999999995224	1.190335414709623	0.7999999999999967	-2.8838372125714357e-15	-8.336828652845324e-15	4.5918215635523435e-15	-1.1909135832155599e-30	-5.125797523795265e-15	2.1229080646598925e-14	-1.0277712135143471e-11	54.99999999999995	20.00000000000036	20.000000000000163	20.000000000000178	20.000000000000362	19.999999999999577	19.999999999999808	36.26893020749127	20.000000000000004	20.00000000000008	19.999999999999577	19.999999999999137	19.999999999999957	20.00000000000008	889.8000000000023	40.0000000000008	39.999999999999744	39.99999999999988	9.999999999999998	104.99999999999996	19.999999999999524	349.81454545454824	40.000000000000135	420.00000000000045	40.00000000000019	40.00000000000027	0.0	13.33333333333342	29.999999999999915	9.99999999999999	13.333333333333371	20.000000000000124	20.000000000000057	13.333333333333384
frozenset({'b3117'})	19.999999999999513	19.999999999999343	19.6114522821577	20.00000000000073	20.00000000000098	20.000000000000128	19.999999999999563	20.000000000000686	29.487516087516163	40.00000000000084	20.000000000000327	20.000000000000068	20.00000000000013	21.071596998928158	27.650914205344392	84.96893939393927	0.7999999999999617	0.800000000000019	0.8000000000000332	0.4000000000003348	0.7999999999999857	0.4000000000000547	0.3999999999995224	1.203873570205008	0.7999999999999967	-2.8838372125714357e-15	-8.336828652845324e-15	4.5918215635523435e-15	-1.1909135832155599e-30	-5.125797523795265e-15	2.1229080646598925e-14	-1.0277712135143471e-11	54.99999999999995	20.00000000000036	20.000000000000163	20.000000000000178	20.000000000000362	19.999999999999577	19.999999999999808	36.689302074912455	20.000000000000004	20.00000000000008	19.999999999999577	19.999999999999137	19.999999999999957	20.00000000000008	899.8000000000025	40.0000000000008	39.999999999999744	39.99999999999988	9.999999999999998	104.99999999999996	19.999999999999524	355.2690909090938	40.000000000000135	420.00000000000045	40.00000000000019	40.00000000000027	0.0	13.33333333333342	29.999999999999915	9.99999999999999	13.333333333333371	20.000000000000124	20.000000000000057	13.333333333333384
frozenset({'b0171'})	19.999999999999513	19.999999999999343	19.6114522821577	20.00000000000073	20.00000000000098	20.000000000000128	19.999999999999563	20.000000000000686	29.487516087516163	40.00000000000084	20.000000000000327	20.000000000000068	20.00000000000013	21.071596998928158	27.650914205344392	84.96893939393927	0.7999999999999617	0.800000000000019	0.8000000000000332	0.4000000000003348	0.7999999999999857	0.4000000000000547	0.3999999999995224	1.203873570205008	0.7999999999999967	-2.8838372125714357e-15	-8.336828652845324e-15	4.5918215635523435e-15	-1.1909135832155599e-30	-5.125797523795265e-15	2.1229080646598925e-14	-1.0277712135143471e-11	54.999999999999964	20.00000000000036	20.000000000000163	20.000000000000178	20.000000000000362	19.999999999999577	19.999999999999808	36.689302074912455	20.000000000000004	20.00000000000008	19.999999999999577	19.999999999999137	19.999999999999957	20.00000000000008	899.8000000000025	40.0000000000008	39.999999999999744	39.99999999999988	9.999999999999998	104.99999999999996	19.999999999999524	355.2690909090938	40.000000000000135	420.0	40.00000000000015	40.00000000000027	0.0	13.33333333333347	29.999999999999915	9.99999999999999	13.333333333334101	20.000000000000938	20.000000000000057	13.333333333333384
frozenset({'b3744'})	19.999999999999513	19.999999999999343	19.6114522821577	20.00000000000073	20.00000000000098	20.000000000000128	19.999999999999563	20.000000000000686	29.487516087516163	40.00000000000084	20.000000000000327	20.000000000000068	20.00000000000013	21.071596998928158	27.650914205344392	84.96893939393927	0.7999999999999617	0.800000000000019	0.8000000000000332	0.4000000000003348	0.7999999999999857	0.4000000000000547	0.3999999999995224	1.203873570205008	0.7999999999999967	-2.8838372125714357e-15	-8.336828652845324e-15	4.5918215635523435e-15	-1.1909135832155599e-30	-5.125797523795265e-15	2.1229080646598925e-14	-1.0277712135143471e-11	54.999999999999964	20.00000000000036	20.000000000000163	20.000000000000178	20.000000000000362	19.999999999999577	19.999999999999808	36.689302074912455	20.000000000000004	20.00000000000008	19.999999999999577	19.999999999999137	19.999999999999957	20.00000000000008	899.8000000000025	40.0000000000008	39.999999999999744	39.99999999999988	9.999999999999998	104.99999999999996	19.999999999999524	355.2690909090938	40.000000000000135	420.0	40.00000000000015	40.00000000000027	0.0	13.33333333333347	29.999999999999915	9.99999999999999	13.333333333334101	20.000000000000938	20.000000000000057	13.333333333333384
