ids	5mthf_c	accoa_c	ala__L_c	amp_c	arg__L_c	asn__L_c	asp__L_c	atp_c	clpn_EC_c	coa_c	ctp_c	cys__L_c	datp_c	dctp_c	dgtp_c	dttp_c	fad_c	gln__L_c	glu__L_c	gly_c	glycogen_c	gtp_c	h2o_c	his__L_c	ile__L_c	leu__L_c	lps_EC_c	lys__L_c	met__L_c	nad_c	nadh_c	nadp_c	nadph_c	pe_EC_c	peptido_EC_c	pg_EC_c	phe__L_c	pro__L_c	ps_EC_c	ptrc_c	ser__L_c	spmd_c	succoa_c	thr__L_c	trp__L_c	tyr__L_c	udpg_c	utp_c	val__L_c
frozenset({'b1015'})	91.48438634713169	13.333333333333927	419.99999999999926	39.99999999999867	104.99999999999987	209.9999999999999	420.0000000000003	13.333333333333204	0.4000000000000511	13.333333333335208	13.333333333333458	20.0	13.333333333333375	13.333333333333371	13.333333333333362	13.333333333333371	19.99999999999937	210.00000000000006	419.9999999999997	420.0000000021116	429.43373493975895	13.333333333333238	1000.0	149.9999999999998	430.00000000000006	439.99999999999955	12.955277475516874	229.99999999999972	30.000000000000007	29.999999999999666	29.99999999999966	19.999999999999776	19.999999999999773	0.8000000000000165	55.00000000000164	0.7999999999999581	287.89680851063844	420.0000000000019	0.8000000000000576	210.00000000000017	420.00000000000074	149.99999999999997	13.333333333333963	419.9999999999998	201.8122912491648	275.2010152284275	20.000000000002363	13.33333333333497	429.99999999999955
frozenset({'b1898'})	91.48438634713169	13.333333333333927	419.99999999999926	39.99999999999867	104.99999999999987	209.9999999999999	420.0000000000003	13.333333333333204	0.4000000000000511	13.333333333335208	13.333333333333458	20.0	13.333333333333375	13.333333333333371	13.333333333333362	13.333333333333371	19.99999999999937	210.00000000000006	419.9999999999997	420.0000000021116	429.43373493975895	13.333333333333238	1000.0	149.9999999999998	430.00000000000006	439.99999999999955	12.955277475516874	229.99999999999972	30.000000000000007	29.999999999999666	29.99999999999966	19.999999999999776	19.999999999999773	0.8000000000000165	55.00000000000164	0.7999999999999581	287.89680851063844	420.0000000000019	0.8000000000000576	210.00000000000017	420.00000000000074	149.99999999999997	13.333333333333963	419.9999999999998	201.8122912491648	275.2010152284275	20.000000000002363	13.33333333333497	429.99999999999955
frozenset({'b0104'})	91.48438634713169	13.333333333333927	419.99999999999926	39.99999999999867	104.99999999999987	209.9999999999999	420.0000000000003	13.333333333333204	0.4000000000000511	13.333333333335208	13.333333333333458	20.0	13.333333333333375	13.333333333333371	13.333333333333362	13.333333333333371	19.99999999999937	210.00000000000006	419.9999999999997	420.0000000021116	429.43373493975895	13.333333333333238	1000.0	149.9999999999998	430.00000000000006	439.9999999999994	12.955277475516874	229.99999999999972	30.000000000000007	29.999999999999666	29.99999999999966	19.999999999999776	19.999999999999773	0.8000000000000165	55.00000000000164	0.7999999999999581	287.89680851063844	420.0000000000019	0.8000000000000576	210.00000000000017	420.00000000000074	149.99999999999997	13.333333333333963	419.9999999999998	201.8122912491648	275.2010152284275	20.000000000002363	13.33333333333497	429.99999999999955
frozenset({'b2781'})	91.48438634713169	13.333333333333927	419.99999999999926	39.99999999999867	104.99999999999987	209.9999999999999	420.0000000000003	13.333333333333204	0.4000000000000511	13.333333333333785	13.333333319578974	20.000000000000025	13.33333333333337	13.333333333334073	13.333333333329309	13.333333333333236	19.999999999999428	210.00000000000006	419.9999999999997	420.0000000021116	429.43373493975895	13.333333333333238	1000.0	149.9999999999998	430.00000000000006	439.9999999999994	12.955277475516874	229.99999999999972	30.000000000000007	29.999999999999666	29.99999999999966	19.999999999999776	19.999999999999773	0.8000000000000165	55.00000000000164	0.7999999999999581	287.89680851063844	420.0000000000019	0.8000000000000576	210.00000000000017	420.00000000000074	149.99999999999997	13.333333333333963	419.9999999999998	201.8122912491648	275.2010152284275	20.000000000002363	13.33333333333497	430.0000000000005
frozenset({'b3454'})	91.48438634713169	13.333333333333922	419.99999999999926	39.99999999999867	104.99999999999987	209.9999999999999	420.0000000000003	13.333333333333204	0.4000000000000511	13.333333333334048	13.333333319578974	20.000000000000025	13.33333333333337	13.333333333334073	13.333333333329309	13.333333333333236	19.99999999999945	210.00000000000006	419.9999999999997	420.0000000021116	429.43373493975895	13.333333333333238	1000.0	149.9999999999998	430.00000000000006	439.99999999999955	12.955277475516874	229.99999999999972	30.000000000000007	29.999999999999666	29.99999999999966	19.999999999999776	19.999999999999773	0.8000000000000165	55.00000000000164	0.7999999999999581	287.89680851063844	420.0000000000019	0.8000000000000576	210.00000000000017	420.00000000000074	149.99999999999997	13.333333333333963	419.9999999999998	201.8122912491648	275.2010152284275	20.000000000002363	13.33333333333497	430.00000000000045
frozenset({'b2688'})	91.48438634713169	13.333333333333922	419.99999999999926	39.99999999999867	104.99999999999987	209.9999999999999	420.0000000000003	13.333333333333204	0.4000000000000511	13.333333333334048	13.333333319578974	20.000000000000025	13.33333333333337	13.333333333334073	13.333333333329309	13.333333333333236	19.99999999999945	210.00000000000006	419.9999999999997	420.0000000021116	429.43373493975895	13.333333333333238	1000.0	149.9999999999998	430.00000000000006	439.99999999999955	12.955277475516874	229.99999999999972	30.000000000000007	29.999999999999666	29.99999999999966	19.999999999999776	19.999999999999773	0.8000000000000165	55.00000000000164	0.7999999999999581	287.89680851063844	420.0000000000019	0.8000000000000576	210.00000000000017	420.00000000000074	149.99999999999997	13.333333333333963	419.9999999999998	201.8122912491648	275.2010152284275	20.000000000002363	13.33333333333497	430.00000000000045
frozenset({'b0507'})	91.48438634713169	13.333333333333922	419.99999999999926	39.99999999999868	104.99999999999984	210.00000000000276	420.0000000000003	13.333333333333204	0.4000000000000511	13.333333333336842	13.333333319767096	20.000000000000025	13.33333333333337	13.333333333334073	13.333333333329309	13.333333333333236	19.99999999999947	209.99999999999994	420.00000000000057	419.99999999999955	429.43373493975895	13.333333333333238	1000.0	149.99999999999991	429.99999999999955	439.9999999999996	12.955277475516874	230.00000000000023	30.0	30.000000000000185	29.999999999999922	20.00000000000044	20.0	0.8000000000000165	55.00000000000164	0.7999999999999581	287.6574468085107	420.0000000000019	0.8000000000000576	210.00000000000014	419.9999999999996	149.99999999999997	13.33333333333381	419.9999999999998	201.6619906479624	274.9725888324884	20.000000000002366	13.333333333334972	430.0000000000007
frozenset({'b2799'})	90.50399419026904	13.333333333333911	419.99999999999915	39.99999999999866	104.99999999999994	210.0000000000027	420.0000000000003	13.333333333333853	0.40000000000009434	13.333333333336842	13.333333319767096	20.000000000000032	13.33333333333337	13.333333333334073	13.333333333329309	13.333333333333236	19.99999999999945	209.99999999999994	420.0000000000007	419.9999999999957	424.0120481927711	13.333333333333274	1000.0	150.00000000000023	429.9999999999995	439.99999999999994	12.808378672470088	230.00000000000023	30.0	30.000000000000167	29.999999999999904	20.000000000000355	20.000000000000107	0.7999999999999925	55.00000000000147	0.7999999999999909	285.02446808510655	420.0000000000019	0.8000000000000571	210.0000000000002	419.99999999999955	149.47746835443039	13.333333333333842	418.9426393902927	200.00868403473598	272.4598984771583	20.000000000002323	13.333333333334945	430.00000000000034
frozenset({'b1441'})	91.48438634713169	13.333333333333911	419.99999999999915	39.99999999999866	104.99999999999994	210.0000000000027	420.0000000000003	13.333333333333853	0.40000000000009434	13.333333333336842	13.333333319767096	20.000000000000032	13.33333333333337	13.333333333334073	13.333333333329309	13.333333333333236	19.99999999999945	209.99999999999994	420.0000000000007	419.9999999999957	429.43373493975895	13.333333333333274	1000.0	150.00000000000023	429.9999999999995	439.99999999999994	12.95527747551688	230.00000000000023	30.0	30.000000000000167	29.999999999999904	20.000000000000355	20.000000000000107	0.7999999999999925	55.00000000000147	0.7999999999999909	287.89680851063844	420.0000000000019	0.8000000000000571	210.0000000000002	419.99999999999955	149.99999999999997	13.333333333333842	419.99999999999966	201.8122912491648	275.2010152284275	20.000000000002323	13.333333333334945	430.00000000000034
frozenset({'b3990'})	91.48438634713169	13.333333333333911	419.99999999999915	39.99999999999866	104.99999999999994	210.0000000000027	420.0000000000003	13.333333333333853	0.40000000000009434	13.333333333336842	13.333333319767096	20.000000000000032	13.33333333333337	13.333333333334073	13.333333333329309	13.333333333333236	19.99999999999945	209.99999999999994	420.0000000000007	419.9999999999957	429.43373493975895	13.333333333333274	1000.0	150.00000000000023	429.9999999999995	439.99999999999994	12.95527747551688	230.00000000000023	30.0	30.000000000000167	29.999999999999904	20.000000000000355	20.000000000000107	0.7999999999999925	55.00000000000147	0.7999999999999909	287.89680851063844	420.0000000000019	0.8000000000000571	210.0000000000002	419.99999999999955	149.99999999999997	13.333333333333842	419.99999999999966	201.8122912491648	275.2010152284275	20.000000000002323	13.333333333334945	430.00000000000034
