ids	ala__L_c	arg__L_c	asn__L_c	asp__L_c	atp_c	chsterol_c	clpn_hs_c	ctp_c	cys__L_c	datp_n	dctp_n	dgtp_n	dttp_n	g6p_c	gln__L_c	glu__L_c	gly_c	gtp_c	h2o_c	his__L_c	ile__L_c	leu__L_c	lys__L_c	met__L_c	pail_hs_c	pchol_hs_c	pe_hs_c	pglyc_hs_c	phe__L_c	pro__L_c	ps_hs_c	ser__L_c	sphmyln_hs_c	thr__L_c	trp__L_c	tyr__L_c	utp_c	val__L_c
frozenset({'7390_AT1'})	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	877.5000000000001	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0
frozenset({'2946_AT1'})	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	877.5000000000001	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0
frozenset({'5092_AT1'})	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	877.5000000000001	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0
frozenset({'5471_AT1'})	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	877.5000000000001	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0
frozenset({'11212_AT1'})	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	877.5000000000001	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0
frozenset({'286410_AT1'})	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	877.5000000000001	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0
frozenset({'3028_AT1'})	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	877.5000000000001	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0
frozenset({'766_AT1'})	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	877.5000000000001	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0
frozenset({'271_AT1'})	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	877.5000000000001	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0
frozenset({'767_AT1'})	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	877.5000000000001	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0
frozenset({'283209_AT1'})	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	877.5000000000001	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0
frozenset({'5331_AT1'})	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	877.5000000000001	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0
